# m44 chain start Sat Sep 26 03:43:43 EDT 2026  isle md5 c1fc6d308d36fbcd9f818ce66b8c6893
proof-21 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-22 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-23 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-24 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-25 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-26 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-27 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-28 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-29 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-30 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-31 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-32 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-33 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
