# Mario Party 4 (USA Rev 1) -- m444dll's demo ball, read out of a Dolphin
# reference capture with MemoryWatcher.  PLAN.md 27.1.
#
# Columns are the module's own lbl_1_bss_1888 (velocity, Vec) and lbl_1_bss_1894
# (position, Vec), read through the MemoryWatcher pointer chain
#     omDLLinfoTbl[slot] (0x801901E0 + 4*slot) -> omDllData.bss (+8) -> offset
# on every frame where omcurovl == 0x34 (DLL_m444dll).
#
# CHANGE ROWS ONLY: a row is written when the six words differ from the previous
# frame's.  A gap therefore means the ball state was BIT-IDENTICAL over that
# span -- which is what the pre-launch hold and the post-landing wait look like.
#
# Capture: port/ref/movies/m444-drop.txt, four CPU players (GWPlayerCfg[i].iscom
# poked to 1), GWSystem.mg_next parked at 43 from frame 9000, pinned reference
# user directory, CustomRTC 1041472800.  frame = the game's GlobalCounter.
frame,velx,vely,velz,posx,posy,posz
12306,9.615479,-5.853294,0.000000,-113.183716,-70.434723,0.000000
12307,1.649980,-9.184338,0.000000,-106.951218,-78.710449,0.000000
12308,-0.801443,-8.622193,0.000000,-105.531578,-87.920174,0.000000
12309,-0.801443,-8.322193,0.000000,-106.333023,-96.542366,0.000000
12310,-0.801442,-8.022193,0.000000,-107.134468,-104.864555,0.000000
12311,-0.801443,-7.722193,0.000000,-107.935913,-112.886742,0.000000
12312,-0.801442,-7.422192,0.000000,-108.737358,-120.608932,0.000000
12313,-0.801442,-7.122192,0.000000,-109.538803,-128.031128,0.000000
12314,-0.801442,-6.822193,0.000000,-110.340240,-135.153320,0.000000
12315,-0.801442,-6.522192,0.000000,-111.141685,-141.975510,0.000000
12316,-0.801442,-6.222192,0.000000,-111.943123,-148.497696,0.000000
12317,-0.801442,-5.922191,0.000000,-112.744568,-154.719879,0.000000
12318,-0.801442,-5.622191,0.000000,-113.546013,-160.642075,0.000000
12319,-0.801442,-5.322190,0.000000,-114.347458,-166.264267,0.000000
12320,-0.801442,-5.022191,0.000000,-115.148895,-171.586456,0.000000
12321,-0.801442,-4.722191,0.000000,-115.950333,-176.608643,0.000000
12322,-0.801442,-4.422191,0.000000,-116.751778,-181.330826,0.000000
12323,-0.801443,-4.122190,0.000000,-117.553223,-185.753021,0.000000
12324,-0.801443,-3.822190,0.000000,-118.354660,-189.875214,0.000000
12325,-0.801442,-3.522189,0.000000,-119.156097,-193.697403,0.000000
12326,-0.801443,-3.222190,0.000000,-119.957542,-197.219589,0.000000
12327,-0.801442,-2.922190,0.000000,-120.758980,-200.441788,0.000000
12328,-0.801442,-2.622190,0.000000,-121.560417,-203.363968,0.000000
12329,-0.801443,-2.322190,0.000000,-122.361862,-205.986160,0.000000
12330,-0.801443,-2.022190,0.000000,-123.163307,-208.308350,0.000000
12331,-0.801443,-1.722190,0.000000,-123.964752,-210.330536,0.000000
12332,-0.801443,-1.422190,0.000000,-124.766197,-212.052719,0.000000
12333,-0.801442,-1.122190,0.000000,-125.567642,-213.474915,0.000000
12334,-0.801442,-0.822190,0.000000,-126.369087,-214.597107,0.000000
12335,-0.801442,-0.522190,0.000000,-127.170532,-215.419296,0.000000
12336,-0.801443,-0.222190,0.000000,-127.971977,-215.941483,0.000000
12337,-0.801443,0.077810,0.000000,-128.773422,-216.163666,0.000000
12338,-0.801442,0.377810,0.000000,-129.574860,-216.085861,0.000000
12339,-0.801442,0.677810,0.000000,-130.376297,-215.708054,0.000000
12340,-0.801442,0.977810,0.000000,-131.177734,-215.030243,0.000000
12341,-0.801442,1.277810,0.000000,-131.979172,-214.052429,0.000000
12342,0.433290,1.681665,0.000000,-131.931076,-212.554810,0.000000
12343,0.433290,1.981665,0.000000,-131.497787,-210.873138,0.000000
12344,0.433290,2.281665,0.000000,-131.064499,-208.891479,0.000000
12345,0.433290,2.581665,0.000000,-130.631210,-206.609818,0.000000
12346,0.433290,2.881665,0.000000,-130.197922,-204.028152,0.000000
12347,0.433290,3.181665,0.000000,-129.764633,-201.146484,0.000000
12348,0.433290,3.481665,0.000000,-129.331345,-197.964813,0.000000
12349,0.433290,3.781665,0.000000,-128.898056,-194.483154,0.000000
12350,0.433290,4.081665,0.000000,-128.464767,-190.701492,0.000000
12351,0.433290,4.381665,0.000000,-128.031479,-186.619843,0.000000
12352,0.433290,4.681665,0.000000,-127.598190,-182.238174,0.000000
12353,0.433290,4.981666,0.000000,-127.164902,-177.556519,0.000000
12354,0.433290,5.281665,0.000000,-126.731613,-172.574844,0.000000
12355,0.433290,5.581666,0.000000,-126.298325,-167.293182,0.000000
12356,0.433290,5.881665,0.000000,-125.865036,-161.711517,0.000000
12357,0.433290,6.181665,0.000000,-125.431747,-155.829849,0.000000
12358,0.433290,6.481665,0.000000,-124.998459,-149.648178,0.000000
12359,0.433290,6.781665,0.000000,-124.565178,-143.166519,0.000000
12360,0.433290,7.081665,0.000000,-124.131889,-136.384857,0.000000
12361,0.433290,7.381665,0.000000,-123.698601,-129.303192,0.000000
12362,0.433290,7.681665,0.000000,-123.265320,-121.921532,0.000000
12363,0.433290,7.981666,0.000000,-122.832039,-114.239868,0.000000
12364,0.433290,8.281664,0.000000,-122.398743,-106.258202,0.000000
12365,0.433290,8.581663,0.000000,-121.965446,-97.976540,0.000000
12366,0.395734,7.763743,0.000000,-121.532158,-89.394875,0.000000
12367,0.519496,7.783442,0.000000,-121.136421,-81.631134,0.000000
12368,1.153925,8.419702,0.000000,-120.616936,-73.847694,0.000000
12369,4.591631,-2.885503,0.000000,-115.529480,-71.106438,0.000000
12370,3.132727,-2.086093,0.000000,-110.937851,-73.991943,0.000000
12371,2.165461,-1.514301,0.000000,-107.805122,-76.078033,0.000000
12372,0.153043,-1.957561,0.000000,-105.808533,-77.783272,0.000000
12373,-0.157507,-1.542176,0.000000,-105.655487,-79.740829,0.000000
12374,-0.355336,-1.201684,0.000000,-105.812996,-81.283005,0.000000
12375,-0.481310,-0.921253,0.000000,-106.168335,-82.484688,0.000000
12376,-0.563214,-0.685063,0.000000,-106.649643,-83.405937,0.000000
12377,-0.620189,-0.478180,0.000000,-107.212860,-84.091003,0.000000
12378,-0.665777,-0.286757,0.000000,-107.833046,-84.569183,0.000000
12379,-0.709975,-0.097545,0.000000,-108.498825,-84.855942,0.000000
12380,-0.760642,0.102889,0.000000,-109.208801,-84.953484,0.000000
12381,-0.824428,0.329129,0.000000,-109.969444,-84.850594,0.000000
12382,-0.907364,0.598064,0.000000,-110.793869,-84.521461,0.000000
12383,-1.015093,0.930286,0.000000,-111.701233,-83.923401,0.000000
12384,-1.152572,1.351902,0.000000,-112.716324,-82.993118,0.000000
12385,-1.322564,1.897019,0.000000,-113.868896,-81.641212,0.000000
12386,-1.520527,2.611542,0.000000,-115.191460,-79.744194,0.000000
12387,-1.714144,3.560162,0.000000,-116.711983,-77.132652,0.000000
12388,-1.690914,4.838728,0.000000,-118.426132,-73.572487,0.000000
12389,2.703798,-5.198276,0.000000,-119.946281,-69.338463,0.000000
12390,1.953497,-3.234162,0.000000,-117.242485,-74.536743,0.000000
12391,1.290543,-1.860848,0.000000,-115.288986,-77.770905,0.000000
12392,0.751812,-0.844319,0.000000,-113.998444,-79.631752,0.000000
12393,0.296845,-0.036937,0.000000,-113.246635,-80.476074,0.000000
12394,-0.118964,0.666616,0.000000,-112.949791,-80.513008,0.000000
12395,-0.538472,1.347639,0.000000,-113.068756,-79.846390,0.000000
12396,-1.005774,2.074108,0.000000,-113.607231,-78.498749,0.000000
12397,-1.574284,2.905772,0.000000,-114.613007,-76.424644,0.000000
12398,-2.337989,3.880009,0.000000,-116.187294,-73.518867,0.000000
